,Datetime,Text
0,2022-05-02 23:59:59+00:00,"【123战法早8点播报-2022.5.3】
#BTC  日线：空，小时线：多
#ETH       日线：空，小时线：多
（BTC38000，ETH2780，分水岭）"
1,2022-05-02 23:59:45+00:00,https://t.co/MeCEt7jfgS @DNC will be approving 33 billion dollars in Aid they already sent $13.5 billion. While Americans are struggling with inflation and high gas prices. Vote these idiots out! @POTUS one term only! #BTC #CRO #cryptocurrency #cryptotrading #ETH enough is enough
2,2022-05-02 23:59:15+00:00,4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/v55w4lZbYN
3,2022-05-02 23:59:12+00:00,"#Bitcoin Last Price $38512 #BTC 🚀
Daily Indicators:
-RSI: 41.9
-MA(20): 39756
-MA(50): 41967
-MA(200): 47154
-Bollinger B. lower/upper: 37623/41888

#Ethereum Last Price $2856 #ETH
-RSI: 44.1
-MA(20): 2957
-MA(50): 3061
-MA(200): 3452
-BB: 2745/3169

#Crypto #Live #NFT

56678"
4,2022-05-02 23:59:02+00:00,$RickMortyDoxx $RMD #RMDOXX #ETH #Ethereum #Airdrop https://t.co/3r5ESuK0cu
5,2022-05-02 23:58:55+00:00,"Bored Apes crashed #Ethereum. Transaction fees went up to USD6,000. That’s beyond the means of many people. #Eth is #broken. It can’t be the #blockchain of the people. There are better alternatives.

#ada #altcoin #cardano #crypto #cryptotrading #coti 

https://t.co/GcqABGc8vA"
6,2022-05-02 23:58:42+00:00,"tokenviz: 🌕 Biggest #Cryptos 1-Day Volume

#Bitcoin: $38,591.03 (+0.74%)
#ETH: $2,861.91 (+1.96%)
$BCH: $285 (+1.97%)
$LUNA: $84.33 (+3.11%)
#XRP: $0.6144 (+1.71%)

👉 Follow to bring #altcoin dashboard right to your feed. https://t.co/omel0AM3Ox"
7,2022-05-02 23:58:31+00:00,"#VTHOUSDT Bull Alert!

5X Volume
Price:      0.003092
5-min %: 0.39%
Volume:  $10,617
 
#crypto #whale #btc #eth #VTHO $VTHO https://t.co/5wJTooc4Af"
8,2022-05-02 23:58:24+00:00,"The $ETH price is at $2,857.38 right now.
🔴 Compared to the last tweet, the price has dropped by $2.04 (0.07%).
🟢 In the last 24 hours the price has increased by $32.27 (1.14%).

#Ethereum #ETH https://t.co/SKdvc43iiv"
9,2022-05-02 23:58:23+00:00,"Hi @TheBinanceNFT 

I'm holding https://t.co/ecPVpbXlic for sale!

Make good offer at @Undeveloped 

#Crypto #NFTCommunity #NFTs #pfpNFT #pfp #3dart #3dnft #3dpfp #Ethereum #bitcoin #BTC #ETH #NewNFTProfilePic $nft #BNBChain #BNB #blockchain"
