,Datetime,Text
0,2022-05-16 23:59:58+00:00,"@thetitanborn ""Nightfall""
0.075 #ETH
https://t.co/11mLVpmdDv https://t.co/tbWaBnF8Vr"
1,2022-05-16 23:59:36+00:00,"#AMA is starting in just a couple minutes! Tune in everyone for all the important &amp; amazing updates! It’ll be held in the Defiant token room! See you soon! #crypto #100xgem #eth 

https://t.co/Usq3M4ZTn9"
2,2022-05-16 23:59:34+00:00,"#Bitcoin Last Price $29840 #BTC 🚀
Daily Indicators:
-RSI: 32.8
-MA(20): 34573
-MA(50): 39310
-MA(200): 45131
-Bollinger B. lower/upper: 26543/42603

#Ethereum Last Price $2019 #ETH
-RSI: 31.5
-MA(20): 2511
-MA(50): 2902
-MA(200): 3337
-BB: 1808/3214

#Crypto #Live

75645"
3,2022-05-16 23:59:30+00:00,belki #eth https://t.co/SkOasNXeRP
4,2022-05-16 23:59:28+00:00,"Those bids got filled quicker than you thought! 💪🏼
#BTC #ETH @alfalfapod https://t.co/d9gB5wUX5M"
5,2022-05-16 23:59:27+00:00,"#EverRise $RISE

$0.000598 🔴 -8.3%
$42.9M Market Cap -8.3%
54473 Hodlrs +0.2%

$0.000629 (#Eth) 🔴 -5.0%
$0.000576 (#BNB) 🔴 -5.0%
$0.000607 (#Polygon) 🔴 -8.1%
$0.000575 (#Ftm) 🔴 -15.4%
$0.000596 (#Avax) 🔴 -10.7%

0.216% Burn
$25.3M Staked TVL

$3.9M LP
$732.5k Buyback https://t.co/xry4WSubcf"
6,2022-05-16 23:59:20+00:00,4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/ny6k8aG1mv
7,2022-05-16 23:59:13+00:00,The CryptoCap 10 Index was up +1.25% (4/9) and is down -4.45% MTDMonth To Date:#BTC -6.05%#ETH -0.60%#BNB -0.4… https://t.co/lXImYDliJQ
8,2022-05-16 23:59:06+00:00,Dust or Moon #Bitcoin #BSC #ETH lmfg...
9,2022-05-16 23:59:03+00:00,Slow 10 | Normal 14.3 | Fast 37 | Instant 63.6 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH
10,2022-05-16 23:58:56+00:00,"SBIリクイディティ・マーケット提供の暗号資産予想レンジの2022年5月16日の結果です。
#SBI #SBIVC #SBIVCトレード #ビットコイン #BTC #イーサリアム #ETH #XRP #暗号資産 https://t.co/U25WojwvZK"
11,2022-05-16 23:58:40+00:00,"Dubai-based law firm, school to start accepting crypto payments - https://t.co/pTcfFs9Yf7 - #altcoin #altcoins #tokens #money #finance #ethereum #eth #xrp #hodl #ripple https://t.co/B76s3wvAUn"
12,2022-05-16 23:58:35+00:00,Share another #ETH adress #NFT project.  RT 🦟
13,2022-05-16 23:58:34+00:00,"#Bitcoin Last Price $29862 #BTC 🚀
Daily Indicators:
-RSI: 32.8
-MA(20): 34573
-MA(50): 39310
-MA(200): 45131
-Bollinger B. lower/upper: 26543/42603

#Ethereum Last Price $2020 #ETH
-RSI: 31.4
-MA(20): 2511
-MA(50): 2902
-MA(200): 3337
-BB: 1808/3214

#Crypto #Live

75644"
14,2022-05-16 23:58:24+00:00,"HEX2Learn - Learn About #hex #pls #plsx TODAY has a new video! @cryptothafamous

""The Worst Damn Crypto Show Period - Episode 13"" #HEX #Pulsechain #Crypto #BTC #ETH #DeFi #PassiveIncome

https://t.co/4gHTiJ8sGH"
15,2022-05-16 23:58:15+00:00,"Gas used in currently pending transactions:

🚀 15 seconds &gt;&gt;&gt;&gt; 58 Gwei
🚗 1 minute  &gt;&gt;&gt;&gt;&gt; 50 Gwei
🐌 3 minutes &gt;&gt;&gt;&gt;&gt; 37 Gwei
🦥 &gt;10 minutes &gt;&gt;&gt; 28 Gwei

#Ethereum #ETH #GasPrice"
16,2022-05-16 23:58:09+00:00,"Giving away this CYBERPOPS NFT by @KriptoKrazed to 1 person in 12hrs.

To enter giveaway:
•FOLLOW ME
•RETWEET 

#opensea #NFTCommunity #NFTs #NFTGiveaway #Giveaway #Giveaways #Crypto #cryptocurrecy #NFTProject #ETH #Polygon #maticnft #Coinbase https://t.co/BziONpnhcv"
17,2022-05-16 23:58:00+00:00,"🎉FREE #NFT GIVEAWAY🎉 

CRYPTO RAPS #7003
https://t.co/B8jAEdaW77

Rules 🎁#NFTGiveaway🎁
1️⃣ Must Follow @binance_senmon
2️⃣ Like &amp; Retweet  
3️⃣ Drop your #ETH wallet address

#NFTS #NFTCollection #PolygonNFT #Polygon #cryptopunks #Cryptoraps #BAYC #Meebits https://t.co/srvLoj6sHT"
